,Clasificacion,Producto,Precio Actual,Precio Anterior,Forma de pago
0,celulares-y-telefonia-li,iPhone 11 64GB Negro Reacondicionado,"$5,895MXN","$8,499",$466 mensuales con  Crédito 
1,celulares-y-telefonia-li,Redmi Note 12S 256GB 8GB Ram Azul Hielo,"$3,339MXN","$7,599",$264 mensuales con  Crédito 
2,celulares-y-telefonia-li,Celular POCO C65 256GB 8GB Black,"$2,499MXN","$2,899",$198 mensuales con  Crédito 
3,celulares-y-telefonia-li,Celular Reacondicionado Grado A Apple Iphone 13 De 128gb Rosa,"$11,999MXN","$13,999",$947 mensuales con  Crédito 
4,celulares-y-telefonia-li,Motorola Edge Plus 256 Gb/12Gb Ram - Thunder Gray,"$7,769MXN","$7,899",$614 mensuales con  Crédito 
5,celulares-y-telefonia-li,Apple iPhone 15 Pro Max 256 GB Titanium Azul Desbloqueado ,"$28,999MXN",0,$2289 mensuales con  Crédito 
6,celulares-y-telefonia-li,iPhone 14 Pro Max 128GB Morado E-SIM Reacondicionado Grado A + Audífono Genérico,"$27,999MXN","$31,999",$2210 mensuales con  Crédito 
7,celulares-y-telefonia-li,Celular POCO F5 Blue 12GB RAM 256GB ROM,"$6,719MXN","$8,499",$531 mensuales con  Crédito 
8,celulares-y-telefonia-li,Celular Motorola Edge 40 5G 256GB Azul Telcel R9,"$9,999MXN",0,$790 mensuales con  Crédito 
9,celulares-y-telefonia-li,iPhone 15 128GB Rosa Telcel R5,"$19,499MXN",0,$1539 mensuales con  Crédito 
10,celulares-y-telefonia-li,Celular Reacondicionado Grado A Samsung Galaxy S20 Ultra 5G 128GB 12GB RAM  108 MPX  Negro,"$8,468MXN","$8,999",$669 mensuales con  Crédito 
11,celulares-y-telefonia-li,Honor Magic5 Lite 256GB 8GB Plata,"$5,699MXN","$8,999",$450 mensuales con  Crédito 
12,celulares-y-telefonia-li,Combo 2 Moto G23 128GB 8GB Ram   2 Smartwatches,"$7,433MXN","$8,289",$587 mensuales con  Crédito 
13,celulares-y-telefonia-li,Celular Xiaomi Redmi Note 12 Onyx Gray 4GB RAM 128GB Rom Eu ,"$2,649MXN","$4,999",$210 mensuales con  Crédito 
14,celulares-y-telefonia-li,Celular (Reacondicionado Grado A) Samsung Galaxy Z Flip 3 5G 128GB 8GB RAM Phantom Black,"$9,426MXN","$9,699",$744 mensuales con  Crédito 
15,celulares-y-telefonia-li,iPhone 12 64GB Rojo Reacondicionado,"$7,499MXN","$9,699",$592 mensuales con  Crédito 
16,celulares-y-telefonia-li,Celular Redmi Note 12 Pro 5G 6GB + 128GB Color Azul,"$4,999MXN","$8,199",$395 mensuales con  Crédito 
17,celulares-y-telefonia-li,Apple iPhone 13 128 GB Medianoche Desbloqueado,"$14,499MXN","$18,999",$1145 mensuales con  Crédito 
18,celulares-y-telefonia-li,Celular Samsung A04E A042M Color Cobre R9 (Telcel),"$2,699MXN",0,$214 mensuales con  Crédito 
19,celulares-y-telefonia-li,celular Xiaomi Redmi 12S 8RAM 256GB GRIS ,"$3,339MXN","$5,000",$264 mensuales con  Crédito 
20,celulares-y-telefonia-li,Motorola E22i 64GB Gris Telcel R9,"$2,499MXN","$2,999",$198 mensuales con  Crédito 
21,celulares-y-telefonia-li,iPhone 12 128GB Blanco Telcel R5,"$11,999MXN","$12,499",$947 mensuales con  Crédito 
22,celulares-y-telefonia-li,iPhone 12 128GB Morado Telcel R9,"$11,999MXN","$12,499",$947 mensuales con  Crédito 
23,celulares-y-telefonia-li,iPhone 12 64GB Blanco Telcel R9,"$10,999MXN","$11,499",$869 mensuales con  Crédito 
24,celulares-y-telefonia-li,Samsung Galaxy A14 128GB 4GB Ram Color Negro,"$2,529MXN","$4,799",$200 mensuales con  Crédito 
25,celulares-y-telefonia-li,Samsung Galaxy A14 128GB 4GB Ram Color Verde,"$2,529MXN","$4,799",$200 mensuales con  Crédito 
26,celulares-y-telefonia-li,Celular Infinix Hot 30 8+256Gb Color Blanco (Open),"$4,199MXN",0,$332 mensuales con  Crédito 
27,celulares-y-telefonia-li,iPhone 11 128GB Negro Telcel R9,"$9,999MXN",0,$790 mensuales con  Crédito 
28,celulares-y-telefonia-li,Celular Infinix Note 30 8+256Gb Color Negro (Open),"$4,999MXN",0,$395 mensuales con  Crédito 
29,celulares-y-telefonia-li,Oppo Reno10 5G 256GB Azul Telcel R9,"$9,799MXN","$9,999",$774 mensuales con  Crédito 
30,celulares-y-telefonia-li,Oppo Reno 10 5G 256 GB Gris Desbloqueado,"$9,799MXN","$9,999",$774 mensuales con  Crédito 
31,celulares-y-telefonia-li,Oppo Reno10 5G 256GB Gris Telcel R9,"$9,799MXN","$9,999",$774 mensuales con  Crédito 
32,celulares-y-telefonia-li,Smartphone HONOR X7A:Procesador Helio G37 hasta,"$3,299MXN","$3,799",$261 mensuales con  Crédito 
33,celulares-y-telefonia-li,APPLE IPHONE 12 4GB 128GB AZUL REACONDICIONADO ,"$9,289MXN","$15,299",$734 mensuales con  Crédito 
34,celulares-y-telefonia-li,Celular Samsung Galaxy S22 de 128GB Oro Rosado (Nuevo),"$9,799MXN","$9,999",$774 mensuales con  Crédito 
35,celulares-y-telefonia-li,Samsung Galaxy A54 5G 128GB Violeta Telcel R9,"$8,999MXN","$9,999",$711 mensuales con  Crédito 
36,celulares-y-telefonia-li,iPhone 11 64GB Blanco Telcel R9,"$8,999MXN",0,$711 mensuales con  Crédito 
37,celulares-y-telefonia-li,Celular Samsung 5G A54 128Gb Color Grafito R9 (Telcel),"$9,999MXN",0,$790 mensuales con  Crédito 
38,celulares-y-telefonia-li,Celular Samsung 5G A54 128Gb Color Lima R9 (Telcel),"$9,999MXN",0,$790 mensuales con  Crédito 
39,celulares-y-telefonia-li,Honor 90 Lite 5G 256GB Azul Telcel R7,"$7,999MXN",0,$632 mensuales con  Crédito 
40,celulares-y-telefonia-li,Samsung Galaxy S10+ Negro 128GB Reacondicionado Grado A + Cargador inalámbrico Samsung Carga Rápida,"$7,950MXN","$9,999",$628 mensuales con  Crédito 
41,celulares-y-telefonia-li,Celular (Reacondicionado Grado A) Samsung Galaxy Z Flip 3 5G 128GB 8GB RAM Blanco,"$8,888MXN","$9,699",$702 mensuales con  Crédito 
42,celulares-y-telefonia-li,iPhone 12 64gb Negro Reacondicionado,"$7,499MXN","$9,699",$592 mensuales con  Crédito 
43,celulares-y-telefonia-li,Samsung Galaxy A54 5G 256GB 8GB Verde ,"$6,999MXN","$9,999",$553 mensuales con  Crédito 
44,celulares-y-telefonia-li,Celular XIAOMI REDMI 12 256/8gb NEGRO Desbloqueado Dual Sim,"$3,419MXN","$4,500",$270 mensuales con  Crédito 
45,celulares-y-telefonia-li,Motorola Moto G72 128GB 6GB Ram Color Blanco,"$6,588MXN","$7,399",$520 mensuales con  Crédito 
46,celulares-y-telefonia-li,Celular Samsung 5G A34 Color Violeta R9 (Telcel),"$7,999MXN",0,$632 mensuales con  Crédito 
47,celulares-y-telefonia-li,MOTOROLA MOTO G23 4GB 128GB AZUL,"$3,179MXN","$4,999",$251 mensuales con  Crédito 
48,celulares-y-telefonia-li,Celular Infinix Hot 30 8+128Gb Color Blanco (Open),"$3,899MXN",0,$308 mensuales con  Crédito 
49,celulares-y-telefonia-li,Celular POCO X5 PRO 5G Negro 8+256GB,"$6,169MXN","$7,999",$487 mensuales con  Crédito 
50,celulares-y-telefonia-li,Celular Oppo A78 256GB Negro Telcel R9,"$6,799MXN","$6,999",$537 mensuales con  Crédito 
51,celulares-y-telefonia-li,Huawei Nova 11I  128 GB Desbloqueado,"$5,999MXN",0,$474 mensuales con  Crédito 
52,celulares-y-telefonia-li,Celular Samsung A04E A042M Color Negro R9 (Telcel),"$2,699MXN",0,$214 mensuales con  Crédito 
53,celulares-y-telefonia-li,Celular Honor X6s 128GB 4GB Ram   Azul,"$2,999MXN","$3,499",$237 mensuales con  Crédito 
54,celulares-y-telefonia-li,Moto G22 Dual SIM 64 GB cosmic black 4 GB RAM,"$2,715MXN","$3,500",$215 mensuales con  Crédito 
55,celulares-y-telefonia-li,"Smartphone Motorola Defy:Procesador Snapdragon 662,Memoria","$5,199MXN","$5,999",$411 mensuales con  Crédito 
56,celulares-y-telefonia-li,Celular Moto G54 256GB 8GB RAM 5G  Autonomia de Hasta Dos Dias    Verde,"$5,418MXN","$5,499",$428 mensuales con  Crédito 
57,celulares-y-telefonia-li,Celular Motorola E22I Xt2239-17 Color Gris R7 (Telcel),"$2,499MXN","$2,999",$198 mensuales con  Crédito 
58,celulares-y-telefonia-li,Celular Apple 5G iPhone SE 2da Generación Reacondicionado Grado A Negro 128GB,"$4,799MXN","$7,999",$379 mensuales con  Crédito 
59,celulares-y-telefonia-li,Celular Samsung A24 4G A245 Color Plata R9 (Telcel),"$5,799MXN",0,$458 mensuales con  Crédito 
60,celulares-y-telefonia-li,Celular Motorola Xt2171-1 G51 5G Color Dorado R9 (Telcel),"$4,499MXN","$6,699",$356 mensuales con  Crédito 
61,celulares-y-telefonia-li,SAMSUNG GALAXY A34 6GB 128GB 5G VERDE,"$4,389MXN","$8,599",$347 mensuales con  Crédito 
62,celulares-y-telefonia-li,Celular Infinix Hot 30I 4+128Gb Color Azul (Open),"$2,699MXN",0,$214 mensuales con  Crédito 
63,celulares-y-telefonia-li,Celular XIAOMI REDMI 12C  128/4gb VERDE Desbloqueado Dual Sim,"$2,083MXN","$4,999",$165 mensuales con  Crédito 
64,celulares-y-telefonia-li,CELULAR HONOR X8a 128/8gb AZUL Desbloqueado Dual Sim,"$4,083MXN","$5,300",$323 mensuales con  Crédito 
65,celulares-y-telefonia-li,Celular POCO X5 5G Black 6GB RAM 128GB ROM,"$3,999MXN","$5,999",$316 mensuales con  Crédito 
66,celulares-y-telefonia-li,Motorola Moto g62 5G 128GB 4GB Azul	,"$3,979MXN","$8,999",$315 mensuales con  Crédito 
67,celulares-y-telefonia-li,Xiaomi Poco C40 32GB 3GB Ram Verde,"$2,389MXN","$3,999",$189 mensuales con  Crédito 
68,celulares-y-telefonia-li,Motorola Moto G52 256GB 6GB Azul ,"$3,789MXN","$5,499",$300 mensuales con  Crédito 
69,celulares-y-telefonia-li,COMBO DE 2 PIEZAS HISENSE V40S 64GB 4GB RAM NEGRO,"$3,754MXN","$7,999",$297 mensuales con  Crédito 
70,celulares-y-telefonia-li,Celular Vivo Y20 V2027 Color Negro R9 (Telcel),"$3,599MXN","$4,919",$285 mensuales con  Crédito 
71,celulares-y-telefonia-li,Celular Samsung A14 Color Negro R9 (Telcel),"$4,999MXN",0,$395 mensuales con  Crédito 
72,celulares-y-telefonia-li,Celular Oppo A17 Cph2477 Color Negro R9 (Telcel),"$3,499MXN","$4,139",$277 mensuales con  Crédito 
73,celulares-y-telefonia-li,Celular Samsung A14 Color Verde R9 (Telcel),"$4,999MXN",0,$395 mensuales con  Crédito 
74,celulares-y-telefonia-li,Celular SENWA GSM S305V20 SWING+ Color NEGRO/NARANJA Telcel,$499MXN,0,NA
75,celulares-y-telefonia-li,SAMSUNG GALAXY A24 4GB 128GB PLATA,"$3,359MXN","$7,999",$266 mensuales con  Crédito 
76,celulares-y-telefonia-li,Celular Motorola Moto G42 128GB 6GB Ram   Verde (Deep Lagoon),"$3,272MXN","$4,500",$259 mensuales con  Crédito 
77,celulares-y-telefonia-li,Motorola G14 128GB Lila Telcel R8,"$3,699MXN",0,$292 mensuales con  Crédito 
78,celulares-y-telefonia-li,Xiaomi Redmi Note 11 Twilight Blue 4GB + 128GB,"$3,199MXN","$4,799",$253 mensuales con  Crédito 
79,celulares-y-telefonia-li,Combo de 2 Celulares Samsung Galaxy A03 Core Dual SIM 32GB 2GB RAM Negro,"$2,734MXN","$7,100",$216 mensuales con  Crédito 
80,celulares-y-telefonia-li,Celular Apple iPhone 8 (64 Gb)   Oro   Kit De Accesorios,"$3,237MXN","$3,999",$256 mensuales con  Crédito 
81,celulares-y-telefonia-li,Celular ZTE Axon 50 Lite 256GB Morado Telcel R9,"$2,999MXN",0,$237 mensuales con  Crédito 
82,celulares-y-telefonia-li,Cargador MagSafe iPhone,$999MXN,0,$79 mensuales con  Crédito 
83,celulares-y-telefonia-li,Celular ZTE Axon 50 Lite 256GB Negro Telcel R9,"$2,999MXN",0,$237 mensuales con  Crédito 
84,celulares-y-telefonia-li,Celular ZTE Axon 50 Lite 256GB Morado Telcel R8,"$2,999MXN",0,$237 mensuales con  Crédito 
85,celulares-y-telefonia-li,Smartphone Xiaomi Redmi Note 12:Procesador Snapdragon 685,"$2,999MXN","$3,499",$237 mensuales con  Crédito 
86,celulares-y-telefonia-li,Xiaomi Redmi Note 12 4GB/128GB Azul,"$2,699MXN","$4,289",$214 mensuales con  Crédito 
87,celulares-y-telefonia-li,Celular Honor X6 4G 64Gb Color Negro R9 (Telcel),"$2,899MXN",0,$229 mensuales con  Crédito 
88,celulares-y-telefonia-li,Celular Samsung A03S A037 64Gb Color Azul R9 (Telcel),"$4,139MXN",0,$327 mensuales con  Crédito 
89,celulares-y-telefonia-li,Celular Samsung A03S A037 Color Negro R5 (Telcel),"$2,799MXN","$4,139",$221 mensuales con  Crédito 
90,celulares-y-telefonia-li,Motorola E22 32GB azul Telcel R9,"$2,699MXN","$3,399",$214 mensuales con  Crédito 
91,celulares-y-telefonia-li,Celular Motorola E22I Xt2239-17 Color Gris R5 (Telcel),"$2,499MXN","$2,999",$198 mensuales con  Crédito 
92,celulares-y-telefonia-li,ZTE Blade V50 Smart 128GB Verde Telcel R4,"$2,499MXN",0,$198 mensuales con  Crédito 
93,celulares-y-telefonia-li,Hisense V60 128GB 4GB RAM Azul,"$2,389MXN","$5,599",$189 mensuales con  Crédito 
94,celulares-y-telefonia-li,Xiaomi Redmi 10A 128GB 4GB Ram Gris,"$2,357MXN","$4,999",$187 mensuales con  Crédito 
95,celulares-y-telefonia-li,Celular Infinix Smart 7 Hd 2+64Gb Color Negro (Open),"$2,199MXN",0,$174 mensuales con  Crédito 
96,celulares-y-telefonia-li,Celular Samsung A045 A04 Color Negro R9 (Telcel),"$2,919MXN",0,$231 mensuales con  Crédito 
97,celulares-y-telefonia-li,Xiaomi Redmi 12C 128GB 4GB Ram Gris Grafito,"$2,189MXN","$4,499",$173 mensuales con  Crédito 
98,celulares-y-telefonia-li,Celular  SENWA 2G S301 DISCO Color BLANCO/ROJO Telcel,$349MXN,$389,NA
99,celulares-y-telefonia-li,Celular  SENWA 2G S301 DISCO Color BLANCO/AZUL Telcel,$349MXN,$389,NA
100,celulares-y-telefonia-li,Celular XIAOMI REDMI 12C  128/4gb AZUL Desbloqueado Dual Sim,"$2,083MXN","$3,999",$165 mensuales con  Crédito 
101,celulares-y-telefonia-li,Samsung Galaxy A04E 32GB Cobre Telcel R9,"$1,999MXN","$2,699",$158 mensuales con  Crédito 
102,electronica-y-tecnologia-li,"Pantalla SANSUI 55"" 4K UHD SMX55VAUG Google TV Smart","$6,199MXN","$8,999",$490 mensuales con  Crédito 
103,electronica-y-tecnologia-li,"Laptop Lenovo IdeaPad 1 15AMN7 15.6"" FHD AMD Athlon Silver 8 GB RAM 256 GB Windows 11","$9,799MXN","$10,999",$774 mensuales con  Crédito 
104,electronica-y-tecnologia-li,Samsung GALAXY TAB S6 Lite Azul 2 64GB,"$4,499MXN","$9,999",$356 mensuales con  Crédito 
105,electronica-y-tecnologia-li,Pantalla Samsung 55 pulgadas 4k un55cu8000fx,"$9,495MXN","$16,427",$750 mensuales con  Crédito 
106,electronica-y-tecnologia-li,"Pantalla LG 50"" UHD AI ThinQ 4K SMART TV  50UR8750PSB","$8,395MXN","$15,999",$663 mensuales con  Crédito 
107,electronica-y-tecnologia-li,"Laptop Lenovo IdeaPad 1, 14IJL7 N4500 14 FHD, Intel Celeron, 8GB RAM, 256GB SSD M.2, Abyss Blue, Windows 11, Lector de huellas","$6,999MXN","$9,999",$553 mensuales con  Crédito 
108,electronica-y-tecnologia-li,Multifuncional Brother Inkbenefit Tank Dcp-T520,"$3,599MXN","$4,899",$285 mensuales con  Crédito 
109,electronica-y-tecnologia-li,"Pantalla TCL 65"" 4K UHD Roku TV, Wifi Doble Banda 65S453, Sonido Dolby","$8,999MXN","$21,799",$711 mensuales con  Crédito 
110,electronica-y-tecnologia-li,Pantalla Samsung 43 pulgadas 4K UN43CU8000FX,"$8,495MXN","$12,141",$671 mensuales con  Crédito 
111,electronica-y-tecnologia-li,"Pantalla Hisense 65"" UHD 4K 65A6H Google TV","$8,999MXN","$13,999",$711 mensuales con  Crédito 
112,electronica-y-tecnologia-li,"Laptop Lenovo IdeaPad Slim 3 15IAN8 15.6"" FHD Intel Core i3-N 8 GB RAM 256 GB SSD Windows 11","$10,499MXN","$11,999",$829 mensuales con  Crédito 
113,electronica-y-tecnologia-li,Pantalla Hisense 75 pulgadas 4K 75A6H,"$13,495MXN","$33,999",$1066 mensuales con  Crédito 
114,electronica-y-tecnologia-li,"Pantalla SANSUI 50"" 4K UHD SMX50VAUG Google TV Smart","$5,299MXN","$7,999",$419 mensuales con  Crédito 
115,electronica-y-tecnologia-li,"Impresora Multifuncional Brother DCP-T720DW de Inyección de tinta a color con conexión WiFi, ADF + DUPLEX","$4,695MXN","$6,229",$371 mensuales con  Crédito 
116,electronica-y-tecnologia-li,"Pantalla TCL 55"" 4K UHD Roku TV, Wifi Doble Banda 55S453, Sonido Dolby","$6,995MXN","$19,999",$553 mensuales con  Crédito 
117,electronica-y-tecnologia-li,"Laptop Lenovo IdeaPad 3 14ITL05 Intel Core i3-1115G4/ 8GB /256GB SSD / 15.6"" Windows 11","$8,199MXN","$8,999",$648 mensuales con  Crédito 
118,electronica-y-tecnologia-li,"Tablet Lenovo B300FU M8 4ta Gen 8"" HD 32GB, 3GB RAM Memoria Expandible, Android + Funda","$3,199MXN","$3,399",$253 mensuales con  Crédito 
119,electronica-y-tecnologia-li,Monitor Samsung 32 pulgadas 4K LS32CM801U,"$9,895MXN","$17,399",$781 mensuales con  Crédito 
120,electronica-y-tecnologia-li,Combo Pantalla Hisense 43Pulg UHD 4K Smart TV 60hz Roku Black + Tab A7 Lite,"$5,999MXN","$8,999",$474 mensuales con  Crédito 
121,electronica-y-tecnologia-li,"Pantalla SANSUI 55"" Roku 4K, UHD, Smart, SMX55P7UR","$5,999MXN","$10,999",$474 mensuales con  Crédito 
122,electronica-y-tecnologia-li,Laptop Asus Vivobook AMD Ryzen E510MA-BR632W 8G 128SSD Azul,"$6,699MXN","$6,999",$529 mensuales con  Crédito 
123,electronica-y-tecnologia-li,Bocina inteligente  Echo Dot 5ta generación con reloj blanco,$929MXN,"$1,199",$74 mensuales con  Crédito 
124,electronica-y-tecnologia-li,Monitor Samsung Cf391 27Pulg FHD Curvo HDMI VGA Aux3.5 4GTG White,"$2,899MXN","$3,199",$229 mensuales con  Crédito 
125,electronica-y-tecnologia-li,"Pantalla TCL 65"" MiniLED IMAX 4K HDR Google TV 65QM850G Smart TV","$20,995MXN","$44,999",$1657 mensuales con  Crédito 
126,electronica-y-tecnologia-li, Echo Dot 5th Gen with Clock con asistente virtual Alexa Azul,"$1,099MXN","$1,199",$87 mensuales con  Crédito 
127,electronica-y-tecnologia-li,"iPad 9na Generación de 10.2"" 64 GB gris","$6,099MXN","$7,999",$482 mensuales con  Crédito 
128,electronica-y-tecnologia-li,Cámara GoPro Hero 10 Black,"$4,499MXN","$5,199",$356 mensuales con  Crédito 
129,electronica-y-tecnologia-li,"Computadora Lenovo IdeaCentre AIO 3 | 23"" FHD AMD Ryzen 3, 128GB SSD + 1 TB HDD, 4GB RAM Teclado y Mouse USB, Cámara HD","$13,299MXN","$15,999",$1050 mensuales con  Crédito 
130,electronica-y-tecnologia-li,"Pantalla LG 55"" UHD AI ThinQ 4K SMART TV  55UR8750PSB","$8,895MXN","$18,999",$702 mensuales con  Crédito 
131,electronica-y-tecnologia-li,Pantalla Samsung 75 pulgadas 4K UN75CU8000FX,"$18,995MXN","$32,856",$1500 mensuales con  Crédito 
132,electronica-y-tecnologia-li,Samsung Galaxy Tab A9+ 128GB gris,"$3,999MXN","$4,999",$316 mensuales con  Crédito 
133,electronica-y-tecnologia-li,"Laptop Lenovo IdeaPad 1,  15AMN7  15.6''FHD,AMD Ryzen 3 7320U , 8GB RAM, 256GB SSD, Windows 11.","$11,799MXN","$12,999",$932 mensuales con  Crédito 
134,electronica-y-tecnologia-li,"Laptop Lenovo IdeaPad 3, 15IAU7 15.6'' FHD, Intel Core i3 12va Gen, 8GB RAM, 512GB SSD, Windows 11, Lector de huellas","$14,399MXN","$15,999",$1137 mensuales con  Crédito 
135,electronica-y-tecnologia-li,Pantalla LG 70 pulgadas 4K UHD 70ur8750psa,"$12,995MXN","$33,999",$1026 mensuales con  Crédito 
136,electronica-y-tecnologia-li,"Pantalla TCL 50"" 4K UHD Roku TV, Wifi Doble Banda 50S453, Sonido Dolby","$5,995MXN","$14,499",$474 mensuales con  Crédito 
137,electronica-y-tecnologia-li,Combo Laptop HP 14-DQ0518LA Intel Celeron-N4120 4GB 128GB 14Pulg HD W11H + Audifonos,"$4,799MXN","$7,999",$379 mensuales con  Crédito 
138,electronica-y-tecnologia-li,Laptop Gamer MSI Thin GF63 GeForce RTX 3050 Core I5 11400H 16GB 1.4TB SSD 15.6 Ingles ,"$15,799MXN","$24,999",$1247 mensuales con  Crédito 
139,electronica-y-tecnologia-li,"Laptop Lenovo IdeaPad Slim 3 | 15.6"" FHD Touchscreen, Intel Core i3 (13va Gen) 5 Núcleos, 8GB RAM + 512GB SSD | Cámara 1080 FHD Dolby Audio  Windows 11","$13,699MXN","$15,999",$1082 mensuales con  Crédito 
